icd_code,icd_version,long_title
41000,9,"Acute myocardial infarction of anterolateral wall, episode of care unspecified"
41001,9,"Acute myocardial infarction of anterolateral wall, initial episode of care"
41002,9,"Acute myocardial infarction of anterolateral wall, subsequent episode of care"
41010,9,"Acute myocardial infarction of other anterior wall, episode of care unspecified"
41011,9,"Acute myocardial infarction of other anterior wall, initial episode of care"
41012,9,"Acute myocardial infarction of other anterior wall, subsequent episode of care"
41020,9,"Acute myocardial infarction of inferolateral wall, episode of care unspecified"
41021,9,"Acute myocardial infarction of inferolateral wall, initial episode of care"
41022,9,"Acute myocardial infarction of inferolateral wall, subsequent episode of care"
41030,9,"Acute myocardial infarction of inferoposterior wall, episode of care unspecified"
41031,9,"Acute myocardial infarction of inferoposterior wall, initial episode of care"
41032,9,"Acute myocardial infarction of inferoposterior wall, subsequent episode of care"
41040,9,"Acute myocardial infarction of other inferior wall, episode of care unspecified"
41041,9,"Acute myocardial infarction of other inferior wall, initial episode of care"
41042,9,"Acute myocardial infarction of other inferior wall, subsequent episode of care"
41050,9,"Acute myocardial infarction of other lateral wall, episode of care unspecified"
41051,9,"Acute myocardial infarction of other lateral wall, initial episode of care"
41052,9,"Acute myocardial infarction of other lateral wall, subsequent episode of care"
41060,9,"True posterior wall infarction, episode of care unspecified"
41061,9,"True posterior wall infarction, initial episode of care"
41062,9,"True posterior wall infarction, subsequent episode of care"
41070,9,"Subendocardial infarction, episode of care unspecified"
41071,9,"Subendocardial infarction, initial episode of care"
41072,9,"Subendocardial infarction, subsequent episode of care"
41080,9,"Acute myocardial infarction of other specified sites, episode of care unspecified"
41081,9,"Acute myocardial infarction of other specified sites, initial episode of care"
41082,9,"Acute myocardial infarction of other specified sites, subsequent episode of care"
41090,9,"Acute myocardial infarction of unspecified site, episode of care unspecified"
41091,9,"Acute myocardial infarction of unspecified site, initial episode of care"
41092,9,"Acute myocardial infarction of unspecified site, subsequent episode of care"
